Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ,BTC-USD,QQQ
Date,,,,,,,,,,
2021-03-22,54529.14453125,309.9774475097656,58471.48046875,312.0497412454093,54288.15625,306.6695743167203,57517.890625,306.6695743167203,56521454974,56194800.0
2021-03-23,54738.9453125,308.62518310546875,55985.44140625,312.39032385026144,53470.6953125,307.80794578565343,54511.66015625,311.0671861964831,56435023914,53455400.0
2021-03-24,52774.265625,303.4200744628906,57262.3828125,310.035850569726,52514.33203125,303.27414455635005,54710.48828125,309.996926031074,70567223787,64803700.0
2021-03-25,51704.16015625,302.8947448730469,53392.38671875,304.41250521258036,50856.5703125,299.06152339697206,52726.74609375,301.5716072574642,67999812841,78729000.0
2021-03-26,55137.3125,307.43817138671875,55137.3125,307.7592171726666,51579.85546875,301.27969196684586,51683.01171875,302.6806487235229,56652197978,63519600.0
2021-03-27,55973.51171875,,56568.21484375,,54242.91015625,,55137.56640625,,47266542233,
2021-03-28,55950.74609375,,56610.3125,,55071.11328125,,55974.94140625,,47686580918,
2021-03-29,57750.19921875,307.35064697265625,58342.09765625,308.4013720774638,55139.33984375,304.00384894886025,55947.8984375,306.9031186586388,57625587027,54608000.0
2021-03-30,58917.69140625,305.8037414550781,59447.22265625,306.3777522827937,57251.55078125,303.0990646666463,57750.1328125,305.38539910973526,54414116432,44635700.0
2021-03-31,58918.83203125,310.48333740234375,59930.02734375,312.0497010080021,57726.41796875,307.2532840120266,58930.27734375,307.5938068756496,65520826225,55032500.0
2021-04-01,59095.80859375,315.7760009765625,59586.0703125,315.912192331418,58505.27734375,314.06367749340836,58926.5625,314.316642469072,61669163792,55685600.0
2021-04-02,59384.3125,,60267.1875,,58869.28125,,59098.87890625,,58727860620,
2021-04-03,57603.890625,,60110.26953125,,57603.890625,,59397.41015625,,59641344484,
2021-04-04,58758.5546875,,58913.74609375,,57168.67578125,,57604.83984375,,50749662970,
2021-04-05,59057.87890625,322.08050537109375,59891.296875,322.84910939096477,57694.82421875,318.02350415491526,58760.875,318.2667306443031,60706272115,42172500.0
2021-04-06,58192.359375,321.8565673828125,59479.578125,323.81208702178355,57646.80859375,321.07822525846916,59171.93359375,321.76900946083316,66058027988,33537200.0
2021-04-07,56048.9375,322.6348876953125,58731.14453125,323.47160178807496,55604.0234375,320.4458505202232,58186.5078125,321.3798314015272,75645303584,32046400.0
2021-04-08,58323.953125,326.0011291503906,58338.73828125,326.18598355209156,55879.0859375,324.69743947414815,56099.9140625,325.49522902983455,53053855641,29940800.0
2021-04-09,58245.00390625,327.9761962890625,58937.046875,328.1805278447033,57807.86328125,323.8997490942338,58326.5625,324.63913716893916,46655208546,36664900.0
2021-04-10,59793.234375,,61276.6640625,,58038.70703125,,58253.77734375,,58238470525,
2021-04-11,60204.96484375,,60790.5546875,,59289.796875,,59846.23046875,,46280252580,
2021-04-12,59893.453125,327.5481872558594,61253.03515625,327.96652959663237,59589.875,325.66074775245687,60175.9453125,326.93525189156423,51828688519,25833000.0
2021-04-13,63503.45703125,331.3717041015625,63742.28515625,331.8386798590932,59869.95703125,328.8615906419261,59890.01953125,329.07563109437007,69983454362,30374000.0
2021-04-14,63109.6953125,327.3925476074219,64863.09765625,331.7414378186627,61554.796875,326.5753102799663,63523.75390625,331.6149553113072,77451779687,42564300.0
2021-04-15,63314.01171875,332.3543701171875,63821.671875,332.7435562296204,62208.96484375,327.11042275742335,63075.1953125,330.272366931184,60954381579,36342800.0
2021-04-16,61572.7890625,332.7434387207031,63594.72265625,332.95747913065975,60222.53125,330.8657084326066,63258.50390625,332.879630059373,84293007468,40860100.0
2021-04-17,60683.8203125,,62572.17578125,,60361.3515625,,61529.921875,,66138759198,
2021-04-18,56216.18359375,,61057.45703125,,52829.53515625,,60701.88671875,,97468872758,
2021-04-19,55724.265625,329.6983337402344,57520.0546875,332.325161677308,54368.59375,327.7719695004632,56191.5859375,331.16743105044657,65344865159,34533100.0
2021-04-20,56473.03125,327.295166015625,57062.1484375,330.32088808353404,53448.046875,325.3201688982717,55681.79296875,329.0366752974596,67849323955,38081800.0
2021-04-21,53906.08984375,330.09716796875,56757.97265625,330.2820224184414,53695.46875,324.92130275884034,56471.12890625,326.01095234182674,54926612466,36598100.0
2021-04-22,51762.2734375,326.1180419921875,55410.23046875,330.6906815212604,50583.8125,324.960281693785,53857.10546875,329.70806683501047,74798630778,45936100.0
2021-04-23,51093.65234375,330.2236328125,52120.79296875,331.5370316238856,47714.6640625,326.75035268424455,51739.80859375,326.75035268424455,86668667320,36381900.0
2021-04-24,50050.8671875,,51167.5625,,48805.28515625,,51143.2265625,,49014494781,
2021-04-25,49004.25390625,,50506.01953125,,47159.484375,,50052.83203125,,46117114240,
2021-04-26,54021.75390625,332.373779296875,54288.00390625,332.65593026349495,48852.796875,329.7177360451731,49077.79296875,330.46689243681317,58284039825,30812000.0
2021-04-27,55033.1171875,330.9338684082031,55416.96484375,332.87967981109216,53319.1875,329.980439822852,54030.3046875,332.6656393691453,49448222757,33187200.0
2021-04-28,54824.703125,329.81500244140625,56227.20703125,331.6148837616057,53887.91796875,329.1631426175007,55036.63671875,330.60305361180485,48000572955,33615700.0
2021-04-29,53555.109375,331.001953125,55115.84375,333.5120365750974,52418.02734375,327.77189932227594,54858.08984375,333.0936942818684,46088929780,37708900.0
2021-04-30,57750.17578125,328.8324279785156,57900.71875,331.04094318780324,53129.6015625,327.91789413418786,53568.6640625,328.55030666857465,52395931985,38263400.0
2021-05-01,57828.05078125,,58448.33984375,,57052.2734375,,57714.6640625,,42836427360,
2021-05-02,56631.078125,,57902.59375,,56141.90625,,57825.86328125,,38177405335,
2021-05-03,57200.29296875,327.0810852050781,58973.30859375,330.7878525897232,56590.87109375,326.63355701203426,56620.2734375,330.0387260828108,51713139031,29729700.0
2021-05-04,53333.5390625,321.1950378417969,57214.1796875,324.8434334874728,53191.42578125,317.37149664018153,57214.1796875,324.52235804385026,68564706967,65147000.0
2021-05-05,57424.0078125,320.1151123046875,57911.36328125,324.11376955905695,52969.0546875,319.3367997400622,53252.1640625,323.2478693669942,69241316747,46219300.0
2021-05-06,56396.515625,322.5279846191406,58363.31640625,322.6836530971703,55382.5078125,317.60508405301647,57441.30859375,319.8524938901285,69523285106,46814300.0
2021-05-07,57356.40234375,325.1451110839844,58606.6328125,327.5287123391438,55321.84765625,322.7031081687946,56413.953125,325.3104884334349,68434023376,53324500.0
2021-05-08,58803.77734375,,59464.61328125,,56975.2109375,,57352.765625,,65382980634,
2021-05-09,58232.31640625,,59210.8828125,,56482.00390625,,58877.390625,,65906690347,
2021-05-10,55859.796875,316.9337158203125,59519.35546875,323.93861784103126,54071.45703125,316.7293842811351,58250.87109375,323.7635019709254,71776546298,60700500.0
2021-05-11,56704.57421875,316.4959716796875,56872.54296875,317.2937615318618,54608.65234375,310.3763861113404,55847.2421875,311.0379845957468,61308396325,71963600.0
2021-05-12,49150.53515625,308.30413818359375,57939.36328125,313.8788695053953,49150.53515625,307.43823775608513,56714.53125,311.55364004509016,75215403907,91164900.0
2021-05-13,49716.19140625,310.6877136230469,51330.84375,313.66480279469476,46980.01953125,308.3138212561382,49735.43359375,311.252015575738,96721152926,69877800.0
2021-05-14,49880.53515625,317.5466613769531,51438.1171875,318.46116529191266,48868.578125,313.35341107944174,49682.98046875,313.85934097492924,55737497453,44370000.0
2021-05-15,46760.1875,,50639.6640625,,46664.140625,,49855.49609375,,59161047474,
2021-05-16,46456.05859375,,49720.04296875,,43963.3515625,,46716.63671875,,64047871555,
2021-05-17,43537.51171875,315.6203918457031,46623.55859375,317.52727900726643,42207.2890625,312.74059882956436,46415.8984375,315.8344323213389,74903638450,39395000.0
2021-05-18,42909.40234375,313.48968505859375,45812.45703125,317.79965031053763,42367.83203125,313.2172726422136,43488.05859375,316.5738092821899,56187365084,36528500.0
2021-05-19,37002.44140625,313.8496398925781,43546.1171875,314.15123827825875,30681.49609375,307.7300548491621,42944.9765625,308.0803163333002,126358098747,66319100.0
2021-05-20,40782.73828125,319.9205627441406,42462.984375,320.7767244958764,35050.6171875,315.11443598457873,36753.66796875,315.33818528965156,88281943359,46466100.0
2021-05-21,37304.69140625,318.14990234375,42172.171875,321.89556553482396,33616.453125,317.7899319853954,40596.94921875,321.4772232097484,82051616861,50330400.0
2021-05-22,37536.6328125,,38831.0546875,,35383.68359375,,37371.03125,,57377273240,
2021-05-23,34770.58203125,,38289.21875,,31227.33984375,,37531.44921875,,78469274361,
2021-05-24,38705.98046875,323.50091552734375,39835.140625,324.6294898128877,34551.08203125,318.042898576007,34700.36328125,320.44597707825824,67359584098,32475800.0
2021-05-25,38402.22265625,323.9483642578125,39776.3515625,325.738506918457,36581.4296875,322.7711568481315,38795.78125,325.01856630785034,56211915803,31280300.0
2021-05-26,39294.19921875,325.07696533203125,40782.078125,325.5439410358583,37905.8359375,323.92894380582464,38392.625,324.6196984948847,51346735160,25444900.0
2021-05-27,38436.96875,323.86083984375,40379.6171875,325.4758667972124,37247.90234375,323.6565379691885,39316.890625,324.6294436261617,43210968721,27931700.0
2021-05-28,35697.60546875,324.88238525390625,38856.96875,326.4779648140599,34779.0390625,324.56133944475215,38507.08203125,325.06723970760027,55200191952,29927400.0
2021-05-29,34616.06640625,,37234.5,,33693.9296875,,35684.15625,,45231013335,
2021-05-30,35678.12890625,,36400.66796875,,33520.73828125,,34607.40625,,31646080921,
2021-05-31,37332.85546875,,37468.25,,34241.9453125,,35658.59375,,39009847639,
2021-06-01,36684.92578125,323.8024597167969,37896.734375,326.69199063279353,35787.0859375,322.4501066361482,37293.79296875,326.2152466832024,34639423297,31145400.0
2021-06-02,37575.1796875,324.43487548828125,38231.33984375,325.2812987242152,35966.30859375,322.71284303209575,36699.921875,324.2208350397107,33070867190,22047900.0
2021-06-03,39208.765625,321.0588684082031,39478.953125,322.86845868768336,37243.97265625,319.3854694822041,37599.41015625,321.59395464592694,35460750427,37057800.0
